id,text,cluster,category
863,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",8,Food Quality
864,I love their fries and their beans.,8,Food Quality
865,Always a pleasure dealing with him.,7,Service Experience
866,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",8,Food Quality
867,This place is awesome if you want something light and healthy during the summer.,2,Food Quality
868,"For sushi on the Strip, this is the place to go.",8,Food Quality
869,"The service was great, even the manager came and helped with our table.",9,Service Experience
870,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,3,Ambience and Atmosphere
871,"I started this review with two stars, but I'm editing it to give it only one.",1,Overall Satisfaction
872,this is the worst sushi i have ever eat besides Costco's.,8,Food Quality
873,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",5,Overall Satisfaction
874,My boyfriend and i sat at the bar and had a completely delightful experience.,5,Overall Satisfaction
875,Weird vibe from owners.,1,Ambience and Atmosphere
876,There was hardly any meat.,0,Food Quality
877,I've had better bagels from the grocery store.,8,Food Quality
878,Go To Place for Gyros.,6,Overall Satisfaction
879,"I love the owner/chef, his one authentic Japanese cool dude!",5,Ambience and Atmosphere
880,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,Food Quality
881,I found a six inch long piece of wire in my salsa.,8,Food Quality
882,"The service was terrible, food was mediocre.",9,Service Experience
883,We definately enjoyed ourselves.,1,Overall Satisfaction
884,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,Food Quality
885,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",8,Food Quality
886,I had about two bites and refused to eat anymore.,0,Food Quality
887,The service was extremely slow.,9,Service Experience
888,"After 20 minutes wait, I got a table.",3,Service Experience
889,Seriously killer hot chai latte.,8,Food Quality
890,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,Service Experience
891,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,8,Food Quality
892,Their rotating beers on tap is also a highlight of this place.,2,Ambience and Atmosphere
893,Pricing is a bit of a concern at Mellow Mushroom.,8,Value for Money
894,Worst Thai ever.,1,Food Quality
895,If you stay in Vegas you must get breakfast here at least once.,5,Overall Satisfaction
896,I want to first say our server was great and we had perfect service.,9,Service Experience
897,The pizza selections are good.,8,Food Quality
898,"I had strawberry tea, which was good.",0,Food Quality
899,Highly unprofessional and rude to a loyal patron!,7,Service Experience
900,"Overall, a great experience.",2,Overall Satisfaction
901,Spend your money elsewhere.,1,Value for Money
902,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,0,Food Quality
903,The Buffet at Bellagio was far from what I anticipated.,5,Food Quality
904,"And the drinks are WEAK, people!",8,Food Quality
905,-My order was not correct.,1,Service Experience
906,"Also, I feel like the chips are bought, not made in house.",8,Food Quality
907,After the disappointing dinner we went elsewhere for dessert.,3,Overall Satisfaction
908,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,8,Food Quality
909,We won't be returning.,4,Overall Satisfaction
910,This is my new fav Vegas buffet spot.,5,Overall Satisfaction
911,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,7,Service Experience
912,"Very, very sad.",1,Overall Satisfaction
913,"i felt insulted and disrespected, how could you talk and judge another human being like that?",7,Service Experience
914,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",8,Food Quality
915,I'm not impressed with the concept or the food.,8,Food Quality
916,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,Food Quality
917,"There is really nothing for me at postinos, hope your experience is better",6,Overall Satisfaction
918,I got food poisoning here at the buffet.,3,Food Quality
919,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,Food Quality
920,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,Overall Satisfaction
921,"Needless to say, I won't be going back anytime soon.",4,Overall Satisfaction
922,This place is disgusting!,6,Ambience and Atmosphere
923,"Every time I eat here, I see caring teamwork to a professional degree.",7,Service Experience
924,The RI style calamari was a joke.,1,Food Quality
925,"However, there was so much garlic in the fondue, it was barely edible.",0,Food Quality
926,"I could barely stomach the meal, but didn't complain because it was a business lunch.",3,Overall Satisfaction
927,"It was so bad, I had lost the heart to finish it.",1,Food Quality
928,It also took her forever to bring us the check when we asked for it.,3,Service Experience
929,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,5,Overall Satisfaction
930,Disappointing experience.,1,Overall Satisfaction
931,"The food is about on par with Denny's, which is to say, not good at all.",8,Food Quality
932,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",5,Overall Satisfaction
933,WAAAAAAyyyyyyyyyy over rated is all I am saying.,1,Ambience and Atmosphere
934,We won't be going back.,4,Overall Satisfaction
935,The place was fairly clean but the food simply wasn't worth it.,0,Value for Money
936,This place lacked style!!,6,Ambience and Atmosphere
937,"The sangria was about half of a glass wine full and was $12, ridiculous.",1,Value for Money
938,Don't bother coming here.,6,Overall Satisfaction
939,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,Food Quality
940,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",2,Ambience and Atmosphere
941,It was equally awful.,1,Overall Satisfaction
942,Probably not in a hurry to go back.,4,Overall Satisfaction
943,very slow at seating even with reservation.,3,Service Experience
944,Not good by any stretch of the imagination.,1,Overall Satisfaction
945,The cashew cream sauce was bland and the vegetables were undercooked.,0,Food Quality
946,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,Food Quality
947,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,Food Quality
948,I was VERY disappointed!!,1,Overall Satisfaction
949,This place is horrible and way overpriced.,6,Value for Money
950,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",8,Overall Satisfaction
951,It wasn't busy at all and now we know why.,3,Service Experience
952,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,7,Service Experience
953,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",5,Ambience and Atmosphere
954,Con: spotty service.,9,Service Experience
955,"The fries were not hot, and neither was my burger.",0,Food Quality
956,But then they came back cold.,1,Overall Satisfaction
957,"Then our food came out, disappointment ensued.",3,Service Experience
958,The real disappointment was our waiter.,7,Service Experience
959,My husband said she was very rude... did not even apologize for the bad food or anything.,7,Service Experience
960,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,8,Value for Money
961,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",3,Service Experience
962,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,8,Service Experience
963,She was quite disappointed although some blame needs to be placed at her door.,1,Overall Satisfaction
964,After all the rave reviews I couldn't wait to eat here......what a disappointment!,5,Overall Satisfaction
965,Del Taco is pretty nasty and should be avoided if possible.,8,Food Quality
966,It's NOT hard to make a decent hamburger.,8,Food Quality
967,But I don't like it.,1,Overall Satisfaction
968,Hell no will I go back,4,Overall Satisfaction
969,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,9,Service Experience
970,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",6,Overall Satisfaction
971,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,7,Service Experience
972,The ambiance isn't much better.,1,Ambience and Atmosphere
973,"Unfortunately, it only set us up for disapppointment with our entrees.",6,Overall Satisfaction
974,The food wasn't good.,0,Food Quality
975,"Your servers suck, wait, correction, our server Heimer sucked.",9,Service Experience
976,What happened next was pretty....off putting.,1,Overall Satisfaction
977,"too bad cause I know it's family owned, I really wanted to like this place.",6,Overall Satisfaction
978,Overpriced for what you are getting.,1,Value for Money
979,I vomited in the bathroom mid lunch.,3,Food Quality
980,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",3,Service Experience
981,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",8,Overall Satisfaction
982,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,Food Quality
983,Food was below average.,0,Food Quality
984,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,8,Overall Satisfaction
985,"All in all, Ha Long Bay was a bit of a flop.",1,Overall Satisfaction
986,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,8,Value for Money
987,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,Food Quality
988,"It lacked flavor, seemed undercooked, and dry.",0,Food Quality
989,It really is impressive that the place hasn't closed down.,6,Overall Satisfaction
990,I would avoid this place if you are staying in the Mirage.,6,Overall Satisfaction
991,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,Food Quality
992,Spend your money and time some place else.,6,Overall Satisfaction
993,A lady at the table next to us found a live green caterpillar In her salad.,8,Food Quality
994,the presentation of the food was awful.,0,Food Quality
995,I can't tell you how disappointed I was.,1,Overall Satisfaction
996,I think food should have flavor and texture and both were lacking.,0,Food Quality
997,Appetite instantly gone.,3,Overall Satisfaction
998,Overall I was not impressed and would not go back.,1,Overall Satisfaction
999,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",1,Overall Satisfaction
1000,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",3,Service Experience
